ok  	siq-agent-security/apps/agentshield/cmd/agentshield	8.936s
?   	siq-agent-security/apps/agentshield/cmd/perfbaseline	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/adapterinstall	4.169s
ok  	siq-agent-security/apps/agentshield/internal/adapters	0.060s
ok  	siq-agent-security/apps/agentshield/internal/admission	0.147s
ok  	siq-agent-security/apps/agentshield/internal/canon	0.010s
ok  	siq-agent-security/apps/agentshield/internal/clientrelease	0.414s
ok  	siq-agent-security/apps/agentshield/internal/completion	0.084s
ok  	siq-agent-security/apps/agentshield/internal/contractvectors	0.027s
ok  	siq-agent-security/apps/agentshield/internal/controlsync	0.020s
ok  	siq-agent-security/apps/agentshield/internal/display	0.020s
ok  	siq-agent-security/apps/agentshield/internal/effectevidence	1.755s
ok  	siq-agent-security/apps/agentshield/internal/export	0.162s
?   	siq-agent-security/apps/agentshield/internal/fileopen	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/grant	0.058s
ok  	siq-agent-security/apps/agentshield/internal/hermeshome	0.019s
?   	siq-agent-security/apps/agentshield/internal/importsource	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/intent	1.284s
ok  	siq-agent-security/apps/agentshield/internal/inventory	0.082s
ok  	siq-agent-security/apps/agentshield/internal/ledger	0.163s
ok  	siq-agent-security/apps/agentshield/internal/localcontrol	0.011s
ok  	siq-agent-security/apps/agentshield/internal/notify	0.036s
ok  	siq-agent-security/apps/agentshield/internal/openshell	0.015s
ok  	siq-agent-security/apps/agentshield/internal/pending	0.052s
ok  	siq-agent-security/apps/agentshield/internal/perfbaseline	0.549s
?   	siq-agent-security/apps/agentshield/internal/product	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/provenance	8.957s
ok  	siq-agent-security/apps/agentshield/internal/rawcontent	0.373s
ok  	siq-agent-security/apps/agentshield/internal/receipt	19.073s
ok  	siq-agent-security/apps/agentshield/internal/rulepack	0.026s
ok  	siq-agent-security/apps/agentshield/internal/runtimeaction	0.010s
?   	siq-agent-security/apps/agentshield/internal/runtimeauthz	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/runtimecheck	4.938s
ok  	siq-agent-security/apps/agentshield/internal/runtimeidentity	0.723s
ok  	siq-agent-security/apps/agentshield/internal/server	19.498s
ok  	siq-agent-security/apps/agentshield/internal/signing	0.020s
ok  	siq-agent-security/apps/agentshield/internal/skillimport	2.716s
ok  	siq-agent-security/apps/agentshield/internal/skillinstall	41.376s
ok  	siq-agent-security/apps/agentshield/internal/skillmanifest	0.585s
ok  	siq-agent-security/apps/agentshield/internal/state	2.960s
ok  	siq-agent-security/apps/agentshield/internal/threat	0.023s
?   	siq-agent-security/apps/agentshield/internal/trustedcontext	[no test files]
ok  	siq-agent-security/apps/agentshield/internal/ui	0.013s
